epoch,train_forget_acc,test_poison_acc,test_clean_acc,lr,epoch_time
0,0.86,0.806,0.9333,0.0009755282581475768,82.01
1,0.695,0.8959,0.9326,0.0009045084971874736,85.91
2,0.705,0.8749,0.933,0.0007938926261462366,88.45
3,0.68,0.8652,0.9318,0.0006545084971874737,88.05
4,0.805,0.7686,0.9305,0.0005,87.41
5,0.735,0.7979,0.9312,0.00034549150281252633,88.28
6,0.785,0.7222,0.9322,0.0002061073738537635,88.76
7,0.77,0.7836,0.9317,9.549150281252634e-05,89.12
8,0.76,0.7583,0.9329,2.4471741852423235e-05,87.87
9,0.81,0.7911,0.9322,0.0,88.26
